"Ingredient Code","Ingredient Name","Purchase UOM","Conversion Rate (to 1 unit of BOM UOM)","Ingredient Category","Cost Effective Date","Ingredient Purchase Price","Lead Time (Days)","MOQ (Quantity)","MOQ (UOM)","MOQ (Remark)","Shelf-life (Days)"
GBK-0027,ORIGINAL CRISPY FLAKE (1CTN X 12PKT X 1KG),KG,0.001,TOPPING,"2023-01-01",40.0,14.0,,,,90.0
GIG-0001,GREEN TEA LATTE POWDER (1CTN X 12PKT X 1KG),KG,0.001,POWDER,"2023-01-01",40.0,90.0,10.0,CTN,,150.0
GIG-0002,CHOCOLATE POWDER (1CTN X 12PKT X 1KG),KG,0.001,POWDER,"2023-01-01",40.0,90.0,10.0,CTN,,150.0
GIG-0003,DARK CHOC SAUCE (1CTN X 3BTL X 2L),BTL,0.0005,SYRUP,"2023-01-01",60.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0004,CARAMEL SAUCE (1CTN X 3BTL X 2L),BTL,0.0005,SYRUP,"2023-01-01",60.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0005,OREO CRUSHED COOKIES (1CTN X 24PKT X 454GM),PKT,0.0022,RAW MATERIAL,"2023-01-01",13.64,14.0,,,,90.0
GIG-0008,FRESH LIME (KG),KG,0.0133,RAW MATERIAL,"2023-01-01",14.29,14.0,,,,7.0
GIG-0009,MANGO CONCENTRATE SAUCE (1CTN X 6BTL X 1KG),KG,0.001,SYRUP,"2023-01-01",60.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-01-01",80.0,7.0,,,,90.0
GIG-0013,FRENCH EARL GREY (1CTN X 10PKT X 25SCT),SCT,1.0,TEA,"2023-01-01",2.5,7.0,30.0,CTN,can mix flavour,240.0
GIG-0014,CHAMOMILE BLOSSOM (1CTN X 10PKT X 25SCT),SCT,1.0,TEA,"2023-01-01",2.5,7.0,30.0,CTN,can mix flavour,240.0
GIG-0015,SOUTH MELBOURNE BREAKFAST TEA (1CTN X 10PKT X 25SCT),SCT,1.0,TEA,"2023-01-01",1.5,7.0,30.0,CTN,can mix flavour,240.0
GIG-0016,OOLONG ROSE TEA (1CTN X 10PKT X 25SCT),SCT,1.0,TEA,"2023-01-01",2.5,7.0,30.0,CTN,can mix flavour,240.0
GIG-0017,FRESH MILK (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-01-01",8.9,3.0,,,,60.0
GIG-0019,VANILA FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-01-01",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0020,HAZELNUT FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-01-01",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0021,EUROPEAN STRAWBERRY SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-01-01",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0022,SHORTBREAD COOKIES FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-01-01",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0023,PECAN PRALINE FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-01-01",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0024,LEMONADE FLV SYRUP (1CTN X 6BTL X 1L),BTL,0.001,SYRUP,"2023-01-01",50.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0025,MACADAMIA NUT FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-01-01",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0026,BLUE OCEAN FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-01-01",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0027,ROASTED ALMOND FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-01-01",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0029,COARSE SEA SALT (1PKT X 350GM),PKT,0.0029,RAW MATERIAL,"2023-01-01",2.3,14.0,,,,60.0
GIG-0030,COFFEE EXTRACT POWDER (1PKT X 100GM),PKT,0.01,POWDER,"2023-01-01",10.0,90.0,,,,150.0
GIG-0031,CHOCOLATE FLAKE (1PKT X 250GM),PKT,0.004,TOPPING,"2023-01-01",20.0,14.0,,,,90.0
GIG-0032,SOY MILK (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-01-01",6.9,3.0,,,,60.0
GIG-0033,OAT MILK (1CTN X 6PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-01-01",9.7,3.0,,,,60.0
GIG-0037,BUTTER SCOTCH POWDER (1CTN X 12PKT X 1KG),KG,0.001,POWDER,"2023-01-01",80.0,90.0,10.0,CTN,,150.0
GIG-0045,COCOA POWDER (1CTN X 15PKT X 300GM),PKT,0.0033,POWDER,"2023-01-01",12.12,90.0,10.0,CTN,,150.0
GIG-0046,CHOCOLATE CHIP (1PKT X 1KG),KG,0.001,TOPPING,"2023-01-01",30.0,14.0,,,,90.0
GIG-0047,SUGAR SYRUP (1CTN X 12BTL X 750ML),BTL,0.0001,SYRUP,"2023-01-01",300.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0056,HOME BARISTA ESPRESSO COFFEE R10 (100% BRAZIL) (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-01-01",100.0,7.0,,,,90.0
GIG-0057,HOME BARISTA ESPRESSO COFFEE N1 (HOME BLEND) (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-01-01",100.0,7.0,,,,90.0
GIG-0063,IRISH CREAM SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-01-01",46.15,30.0,50.0,CTN,can mix flavour,150.0
GIG-0064,PEACH GARDEN SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-01-01",46.15,30.0,50.0,CTN,can mix flavour,150.0
GIG-0065,PEACH IN CAN (1PKT X 825GM),KG,0.0833,RAW MATERIAL,"2023-01-01",13.93,14.0,,,,90.0
GIG-0066,LYCHEE IN CAN (1CAN X 825GM),CAN,0.0833,RAW MATERIAL,"2023-01-01",13.93,14.0,,,,90.0
GIG-0067,PREMIUM SYRUP BUTTERFLY PEA FLOWER (1CTN X 6BTL X 700ML),BTL,0.0014,SYRUP,"2023-01-01",50.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0069,FRAGRANT LYCHEE SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-01-01",46.15,30.0,50.0,CTN,can mix flavour,150.0
GIG-0071,PREMIUM SYRUP TIRAMISU (1CTN X 6BTL X 700ML),BTL,0.0014,SYRUP,"2023-01-01",50.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0073,SHAVING CURLED DARK CHOCOLATE (1BOX X 2.5KG),BOX,0.0004,TOPPING,"2023-01-01",27.5,14.0,,,,90.0
GIG-0087,DRINKING CREAM POWDER (1PKT X 1KG),KG,0.001,POWDER,"2023-01-01",70.0,90.0,10.0,CTN,,150.0
GIG-0095,SOUTH LEMONGRASS GINGER TEA (1CTN X 10PKT X 25SCT),SCT,1.0,TEA,"2023-01-01",1.5,7.0,30.0,CTN,can mix flavour,240.0
GIG-0105,MINT LEAF (1PKT X 500GM),PKT,0.002,RAW MATERIAL,"2023-01-01",15.0,14.0,,,,7.0
GIG-0110,ONION HOLLAND (1PKT X 1KG),KG,0.001,RAW MATERIAL,"2023-01-01",10.0,14.0,,,,7.0
GIG-0111,GARLIC PEELED (1PKT X 1KG),KG,0.001,RAW MATERIAL,"2023-01-01",10.0,14.0,,,,7.0
GIG-0115,SACHET BROWN SUGAR (1CTN X 10BOX X 250SCT),SCT,1.0,RAW MATERIAL,"2023-01-01",0.2,14.0,,,,90.0
GIG-0116,WHIPPING CREAM (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-01-01",9.0,3.0,,,,60.0
GIG-0121,LEMON (KG),KG,0.0125,RAW MATERIAL,"2023-01-01",15.2,14.0,,,,7.0
GIG-0175,MIXED BERRY POWDER (1PKT X 1KG),KG,0.001,POWDER,"2023-01-01",140.0,90.0,10.0,CTN,,150.0
GIG-0338,BASIC CHOCOLATE ICE CREAM (1TUB X 6L),TUB,0.0002,RAW MATERIAL,"2023-01-01",50.0,14.0,,,,30.0
GIG-0339,COOKIES & CREAM ICE CREAM (1TUB X 6L),TUB,0.0002,RAW MATERIAL,"2023-01-01",50.0,14.0,,,,30.0
GIG-0340,VANILLA ICE CREAM (1TUB X 6L),TUB,0.0002,RAW MATERIAL,"2023-01-01",50.0,14.0,,,,30.0
GIG-0341,BOIRON BANANA PUREE (1CTN X 6TRAY X 1KG),KG,0.001,RAW MATERIAL,"2023-01-01",200.0,14.0,,,,7.0
GIG-0457,BUTTERSCOTCH FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-01-01",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0472,COCOA POWDER (1CTN X 40PKT X 500G),PKT,0.002,POWDER,"2023-01-01",35.0,90.0,10.0,CTN,,150.0
GIG-0485,COCONUT MILK (1CTN X 12BTL X 1L),BTL,0.001,RAW MATERIAL,"2023-01-01",10.0,14.0,,,,60.0
GMD-0028,RWANDA BEANS (250GM),PKT,0.004,COFFEE BEANS,"2023-01-01",35.0,7.0,,,,90.0
GMD-0029,INDONESIA HONEY PROCESS BEANS (250GM),PKT,0.004,COFFEE BEANS,"2023-01-01",35.0,7.0,,,,90.0
GMD-0030,INDONESIA NATURAL PROCESS BEANS (250GM),PKT,0.004,COFFEE BEANS,"2023-01-01",35.0,7.0,,,,90.0
GPK-0008,WOODEN COFFEE STIRRER 14CM (1PKT X 1000PCS),PCS,1.0,OTHERS,"2023-01-01",0.3,30.0,,,,240.0
GPK-0022,GIGI TAKE AWAY BAG (BROWN) (1CTN X 500PCS),PCS,1.0,PAPER BAG,"2023-01-01",0.42,60.0,100.0,CTN,,240.0
GPK-0025,LARGE BROWN PAPER BAG (1CTN X 250PCS),PCS,1.0,PAPER BAG,"2023-01-01",0.87,60.0,100.0,CTN,,240.0
GPK-0034,"4 CUP CARRIER (1CTN X 4ROLL X 100PCS)",PCS,1.0,OTHERS,"2023-01-01",0.52,30.0,,,,240.0
GPK-0038,GIGI COFFEE CUP SLEEVE (1BDL X 1000PCS),PCS,1.0,SLEEVE,"2023-01-01",0.31,60.0,,,,240.0
GPK-0039,HOME BARISTA CUP SLEEVE (1BDL X 1000PCS),PCS,1.0,SLEEVE,"2023-01-01",0.31,60.0,,,,240.0
GPK-0041,PAPER CUP DOME LID (1CTN X 10ROLL X 100PCS),PCS,1.0,LIDS,"2023-01-01",0.96,90.0,,,,240.0
GPK-0052,GIGI COFFEE DOUBLE WALL PAPER CUP 12OZ (1CTN X 25ROLL X 20PCS),PCS,1.0,CUP,"2023-01-01",0.9,90.0,100.0,CTN,,240.0
GPK-0054,PAPER CUP LIDS TRANS (STRAWLESS) (1CTN X 20ROLL X 100PCS),PCS,1.0,LIDS,"2023-01-01",0.326,90.0,,,,240.0
GPK-0056,COMPOSTABLE MATERIAL STRAW 6MM X 210MM (W/WRAP) (1CTN X 10PKT X 500PCS),PCS,1.0,OTHERS,"2023-01-01",0.4,30.0,,,,240.0
GPK-0057,GIGI COFFEE NAPKIN (2PLY) (1CTN X 50PKT X 100PCS),PCS,1.0,OTHERS,"2023-01-01",0.1,30.0,,,,240.0
GPK-0094,GIGI COFFEE DOUBLE WALL PAPER CUP 16OZ (1CTN X 25ROLL X 20PCS),PCS,1.0,CUP,"2023-01-01",0.115,90.0,100.0,CTN,,240.0
GPK-0294,LEAK PROOF PAPER 13CM (1PKT X 500PCS),PCS,1.0,OTHERS,"2023-01-01",0.3,30.0,,,,240.0
GRTD-0012,APPLE JUICE NECTAR,UNIT,1.0,BOTTLED BEVERAGE,"2023-01-01",9.17,3.0,,,,90.0
GRTD-0013,GUAVA DRAGONFRUIT BEETROOT NECTAR,UNIT,1.0,BOTTLED BEVERAGE,"2023-01-01",9.17,3.0,,,,90.0
GRTD-0014,GUAVA NECTAR,UNIT,1.0,BOTTLED BEVERAGE,"2023-01-01",9.17,3.0,,,,90.0
GRTD-0015,CARROT ORANGE PINEAPPLE NECTAR,UNIT,1.0,BOTTLED BEVERAGE,"2023-01-01",9.17,3.0,,,,90.0
GRTD-0018,COCA-COLA RASA ASLI (1CTN X 12BTL X 1.5L),BTL,0.0007,BOTTLED BEVERAGE,"2023-01-01",3.53,3.0,,,,90.0
GRTD-0021,SPRITZER MINERAL WATER (1CTN X 24BTL X 350ML),BTL,0.0417,MINERAL WATER,"2023-01-01",11.51,3.0,,,,90.0
GPK-0022,GIGI TAKE AWAY BAG (BROWN) (1CTN X 500PCS),PCS,1.0,PAPER BAG,"2023-01-05",0.38,60.0,100.0,CTN,,240.0
GPK-0052,GIGI COFFEE DOUBLE WALL PAPER CUP 12OZ (1CTN X 25ROLL X 20PCS),PCS,1.0,CUP,"2023-01-05",0.21,90.0,100.0,CTN,,240.0
GPK-0022,GIGI TAKE AWAY BAG (BROWN) (1CTN X 500PCS),PCS,1.0,PAPER BAG,"2023-01-06",0.42,60.0,100.0,CTN,,240.0
GIG-0017,FRESH MILK (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-01-15",8.9,3.0,,,,60.0
GIG-0046,CHOCOLATE CHIP (1PKT X 1KG),KG,0.001,TOPPING,"2023-02-05",30.0,14.0,,,,90.0
GIG-0046,CHOCOLATE CHIP (1PKT X 1KG),KG,0.001,TOPPING,"2023-02-06",30.0,14.0,,,,90.0
GPK-0094,GIGI COFFEE DOUBLE WALL PAPER CUP 16OZ (1CTN X 25ROLL X 20PCS),PCS,1.0,CUP,"2023-02-09",0.22999999999999998,90.0,100.0,CTN,,240.0
GIG-0017,FRESH MILK (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-02-20",8.9,3.0,,,,60.0
GIG-0017,FRESH MILK (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-03-01",8.9,3.0,,,,60.0
GPK-0022,GIGI TAKE AWAY BAG (BROWN) (1CTN X 500PCS),PCS,1.0,PAPER BAG,"2023-03-14",0.7,60.0,100.0,CTN,,240.0
GPK-0057,GIGI COFFEE NAPKIN (2PLY) (1CTN X 50PKT X 100PCS),PCS,1.0,OTHERS,"2023-03-16",0.1,30.0,,,,240.0
