"Ingredient Code","Ingredient Name","Purchase UOM","Conversion Rate (to 1 unit of BOM UOM)","Ingredient Category","Cost Effective Date","Ingredient Purchase Price","Lead Time (Days)","MOQ (Quantity)","MOQ (UOM)","MOQ (Remark)","Shelf-life (Days)"
GIG-0003,DARK CHOC SAUCE (1CTN X 3BTL X 2L),BTL,0.0005,SYRUP,"2023-03-19",60.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0009,MANGO CONCENTRATE SAUCE (1CTN X 6BTL X 1KG),KG,0.001,SYRUP,"2023-03-19",70.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0021,EUROPEAN STRAWBERRY SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-03-19",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0024,LEMONADE FLV SYRUP (1CTN X 6BTL X 1L),BTL,0.001,SYRUP,"2023-03-19",60.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0027,ROASTED ALMOND FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-03-19",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0004,CARAMEL SAUCE (1CTN X 3BTL X 2L),BTL,0.0005,SYRUP,"2023-03-20",80.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0025,MACADAMIA NUT FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-03-20",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0026,BLUE OCEAN FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-03-20",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0047,SUGAR SYRUP (1CTN X 12BTL X 750ML),BTL,0.0001,SYRUP,"2023-03-22",300.0,30.0,50.0,CTN,can mix flavour,150.0
GPK-0052,GIGI COFFEE DOUBLE WALL PAPER CUP 12OZ (1CTN X 25ROLL X 20PCS),PCS,1.0,CUP,"2023-03-23",0.2,90.0,100.0,CTN,,240.0
GIG-0014,CHAMOMILE BLOSSOM (1CTN X 10PKT X 25SCT),SCT,1.0,TEA,"2023-03-28",2.5,7.0,30.0,CTN,can mix flavour,240.0
GIG-0045,COCOA POWDER (1CTN X 15PKT X 300GM),PKT,0.0033,POWDER,"2023-03-28",12.12,90.0,10.0,CTN,,150.0
GIG-0014,CHAMOMILE BLOSSOM (1CTN X 10PKT X 25SCT),SCT,1.0,TEA,"2023-03-29",2.5,7.0,30.0,CTN,can mix flavour,240.0
GIG-0045,COCOA POWDER (1CTN X 15PKT X 300GM),PKT,0.0033,POWDER,"2023-03-29",12.12,90.0,10.0,CTN,,150.0
GIG-0069,FRAGRANT LYCHEE SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-04-05",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0017,FRESH MILK (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-04-16",8.9,3.0,,,,60.0
GIG-0064,PEACH GARDEN SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-04-17",38.46,30.0,50.0,CTN,can mix flavour,150.0
GPK-0041,PAPER CUP DOME LID (1CTN X 10ROLL X 100PCS),PCS,1.0,LIDS,"2023-04-19",0.101,90.0,,,,240.0
GPK-0041,PAPER CUP DOME LID (1CTN X 10ROLL X 100PCS),PCS,1.0,LIDS,"2023-04-20",0.096,90.0,,,,240.0
GIG-0017,FRESH MILK (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-04-21",8.9,3.0,,,,60.0
GIG-0111,GARLIC PEELED (1PKT X 1KG),KG,0.001,RAW MATERIAL,"2023-04-26",20.0,14.0,,,,7.0
GIG-0017,FRESH MILK (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-04-30",8.9,3.0,,,,60.0
GPK-0041,PAPER CUP DOME LID (1CTN X 10ROLL X 100PCS),PCS,1.0,LIDS,"2023-05-02",0.1,90.0,,,,240.0
GPK-0094,GIGI COFFEE DOUBLE WALL PAPER CUP 16OZ (1CTN X 25ROLL X 20PCS),PCS,1.0,CUP,"2023-05-02",0.23,90.0,100.0,CTN,,240.0
GPK-0041,PAPER CUP DOME LID (1CTN X 10ROLL X 100PCS),PCS,1.0,LIDS,"2023-05-03",0.096,90.0,,,,240.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-05-04",80.0,7.0,,,,90.0
GIG-0116,WHIPPING CREAM (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-05-04",8.9,3.0,,,,60.0
GIG-0045,COCOA POWDER (1CTN X 15PKT X 300GM),PKT,0.0033,POWDER,"2023-05-08",18.18,90.0,10.0,CTN,,150.0
GPK-0041,PAPER CUP DOME LID (1CTN X 10ROLL X 100PCS),PCS,1.0,LIDS,"2023-05-08",0.1,90.0,,,,240.0
GPK-0025,LARGE BROWN PAPER BAG (1CTN X 250PCS),PCS,1.0,PAPER BAG,"2023-05-09",0.78,60.0,100.0,CTN,,240.0
GPK-0041,PAPER CUP DOME LID (1CTN X 10ROLL X 100PCS),PCS,1.0,LIDS,"2023-05-09",0.093,90.0,,,,240.0
GIG-0017,FRESH MILK (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-05-10",8.9,3.0,,,,60.0
GIG-0017,FRESH MILK (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-05-15",8.9,3.0,,,,60.0
GIG-0472,COCOA POWDER (1CTN X 40PKT X 500G),PKT,0.002,POWDER,"2023-05-16",40.0,90.0,10.0,CTN,,150.0
GIG-0105,MINT LEAF (1PKT X 500GM),PKT,0.002,RAW MATERIAL,"2023-05-17",15.0,14.0,,,,7.0
GIG-0105,MINT LEAF (1PKT X 500GM),PKT,0.002,RAW MATERIAL,"2023-05-27",15.0,14.0,,,,7.0
GIG-0338,BASIC CHOCOLATE ICE CREAM (1TUB X 6L),TUB,0.0002,RAW MATERIAL,"2023-05-29",50.0,14.0,,,,30.0
GIG-0339,COOKIES & CREAM ICE CREAM (1TUB X 6L),TUB,0.0002,RAW MATERIAL,"2023-05-29",50.0,14.0,,,,30.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-05-30",100.0,7.0,,,,90.0
GIG-0020,HAZELNUT FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-05-30",53.85,30.0,50.0,CTN,can mix flavour,150.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-05-31",80.0,7.0,,,,90.0
GIG-0020,HAZELNUT FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-05-31",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0338,BASIC CHOCOLATE ICE CREAM (1TUB X 6L),TUB,0.0002,RAW MATERIAL,"2023-06-05",50.0,14.0,,,,30.0
GIG-0339,COOKIES & CREAM ICE CREAM (1TUB X 6L),TUB,0.0002,RAW MATERIAL,"2023-06-05",50.0,14.0,,,,30.0
GBK-0027,ORIGINAL CRISPY FLAKE (1CTN X 12PKT X 1KG),KG,0.001,TOPPING,"2023-06-07",40.0,14.0,,,,90.0
GPK-0052,GIGI COFFEE DOUBLE WALL PAPER CUP 12OZ (1CTN X 25ROLL X 20PCS),PCS,1.0,CUP,"2023-06-07",0.18,90.0,100.0,CTN,,240.0
GIG-0004,CARAMEL SAUCE (1CTN X 3BTL X 2L),BTL,0.0005,SYRUP,"2023-06-12",80.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-06-12",110.0,7.0,,,,90.0
GIG-0457,BUTTERSCOTCH FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-06-12",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0004,CARAMEL SAUCE (1CTN X 3BTL X 2L),BTL,0.0005,SYRUP,"2023-06-13",80.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-06-13",80.0,7.0,,,,90.0
GIG-0004,CARAMEL SAUCE (1CTN X 3BTL X 2L),BTL,0.0005,SYRUP,"2023-06-14",80.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-06-14",110.0,7.0,,,,90.0
GIG-0457,BUTTERSCOTCH FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-06-14",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0004,CARAMEL SAUCE (1CTN X 3BTL X 2L),BTL,0.0005,SYRUP,"2023-06-15",80.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-06-15",80.0,7.0,,,,90.0
GIG-0105,MINT LEAF (1PKT X 500GM),PKT,0.002,RAW MATERIAL,"2023-06-18",15.0,14.0,,,,7.0
GPK-0052,GIGI COFFEE DOUBLE WALL PAPER CUP 12OZ (1CTN X 25ROLL X 20PCS),PCS,1.0,CUP,"2023-06-22",0.19,90.0,100.0,CTN,,240.0
GIG-0105,MINT LEAF (1PKT X 500GM),PKT,0.002,RAW MATERIAL,"2023-06-23",15.0,14.0,,,,7.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-07-03",100.0,7.0,,,,90.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-07-04",80.0,7.0,,,,90.0
GIG-0105,MINT LEAF (1PKT X 500GM),PKT,0.002,RAW MATERIAL,"2023-07-06",15.0,14.0,,,,7.0
GIG-0004,CARAMEL SAUCE (1CTN X 3BTL X 2L),BTL,0.0005,SYRUP,"2023-07-10",80.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0020,HAZELNUT FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-07-10",53.85,30.0,50.0,CTN,can mix flavour,150.0
GIG-0004,CARAMEL SAUCE (1CTN X 3BTL X 2L),BTL,0.0005,SYRUP,"2023-07-11",80.0,30.0,50.0,CTN,can mix flavour,150.0
GIG-0020,HAZELNUT FLV SYRUP (1CTN X 12BTL X 750ML),BTL,0.0013,SYRUP,"2023-07-11",38.46,30.0,50.0,CTN,can mix flavour,150.0
GIG-0105,MINT LEAF (1PKT X 500GM),PKT,0.002,RAW MATERIAL,"2023-07-19",20.0,14.0,,,,7.0
GIG-0105,MINT LEAF (1PKT X 500GM),PKT,0.002,RAW MATERIAL,"2023-07-26",15.0,14.0,,,,7.0
GPK-0052,GIGI COFFEE DOUBLE WALL PAPER CUP 12OZ (1CTN X 25ROLL X 20PCS),PCS,1.0,CUP,"2023-07-31",0.18,90.0,100.0,CTN,,240.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-08-01",190.0,7.0,,,,90.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-08-02",80.0,7.0,,,,90.0
GIG-0033,OAT MILK (1CTN X 6PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-08-09",10.2,3.0,,,,60.0
GIG-0116,WHIPPING CREAM (1CTN X 12PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-08-09",9.2,3.0,,,,60.0
GIG-0472,COCOA POWDER (1CTN X 40PKT X 500G),PKT,0.002,POWDER,"2023-08-09",35.0,90.0,10.0,CTN,,150.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-08-14",100.0,7.0,,,,90.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-08-15",80.0,7.0,,,,90.0
GIG-0105,MINT LEAF (1PKT X 500GM),PKT,0.002,RAW MATERIAL,"2023-08-17",15.0,14.0,,,,7.0
GIG-0033,OAT MILK (1CTN X 6PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2023-08-19",9.8,3.0,,,,60.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-09-25",110.0,7.0,,,,90.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-11-06",90.0,7.0,,,,90.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-11-07",80.0,7.0,,,,90.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-11-20",190.0,7.0,,,,90.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-11-21",80.0,7.0,,,,90.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-12-09",90.0,7.0,,,,90.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-12-10",80.0,7.0,,,,90.0
GIG-0033,OAT MILK (1CTN X 6PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2024-01-02",11.2,3.0,,,,60.0
GPK-0041,PAPER CUP DOME LID (1CTN X 10ROLL X 100PCS),PCS,1.0,LIDS,"2024-01-02",0.01,90.0,,,,240.0
GIG-0033,OAT MILK (1CTN X 6PKT X 1L),PKT,0.001,DAIRY PRODUCT,"2024-01-03",9.8,3.0,,,,60.0
GPK-0041,PAPER CUP DOME LID (1CTN X 10ROLL X 100PCS),PCS,1.0,LIDS,"2024-01-03",0.093,90.0,,,,240.0
GIG-0011,GIGI COFFEE INDONESIA ESPRESSO COFFEE BEAN (1CTN X 12PKT X 1KG),KG,0.001,COFFEE BEANS,"2023-09-26",80.0,7.0,,,,90.0
